X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.510973145,53.488248668,1,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,108A ST/51 AV,9,8,2022,2022/08/09
-113.515785577,53.5388476970001,2,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 AV/113 ST,9,8,2022,2022/08/09
-113.469086977,53.5703902230001,3,2022/08/09 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,83 ST/118 AV,9,8,2022,2022/08/09
-113.561380558,53.570177125,4,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,118 AV/139 ST,9,8,2022,2022/08/09
-113.501071772,53.5430105300001,5,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,102 AV/105 ST,9,8,2022,2022/08/09
-113.453884615,53.5932944750001,6,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,132A AV/73 ST,9,8,2022,2022/08/09
-113.615357569,53.524858894,7,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,170 ST/90 AV,9,8,2022,2022/08/09
-113.461341547,53.5132373110001,8,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,77 AV/87 ST,9,8,2022,2022/08/09
-113.487229299,53.57038942,9,2022/08/09 12:00:00+00,Non-Violent,Property,Fraud - Financial,118 AV/95 ST,9,8,2022,2022/08/09
-113.49193966,53.5766576680001,10,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,122 AV/97 ST,9,8,2022,2022/08/09
-113.426343067,53.5994204250001,11,2022/08/09 12:00:00+00,Disorder,General Disorder,Trouble with Person,137 AV/56 ST,9,8,2022,2022/08/09
-113.447280113,53.490636716,12,2022/08/09 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,84 ST/ROPER RD,9,8,2022,2022/08/09
-113.580308864,53.539267819,13,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 AV/100A AV,9,8,2022,2022/08/09
-113.51578686,53.5482591360001,14,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,105 AV/113 ST,9,8,2022,2022/08/09
-113.477474856,53.549363213,15,2022/08/09 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,93 ST/104 AV,9,8,2022,2022/08/09
-113.477089154,53.5513567090001,16,2022/08/09 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,105A AV/92 ST,9,8,2022,2022/08/09
-113.424521676,53.587612908,17,2022/08/09 12:00:00+00,Non-Violent,Property,Fraud - Financial,129 AV/54 ST,9,8,2022,2022/08/09
-113.530461621,53.4754336020001,18,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,39 AV/39 AV,9,8,2022,2022/08/09
-113.580711495,53.468360627,19,2022/08/09 12:00:00+00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,TERWILLEGAR DR/RABBIT HILL RD,9,8,2022,2022/08/09
-113.501101203,53.535649709,20,2022/08/09 12:00:00+00,Non-Violent,Property,Break and Enter Residential,105 ST/98 AV,9,8,2022,2022/08/09
-113.446438767,53.444207014,21,2022/08/09 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,14 AV/72 ST,9,8,2022,2022/08/09
-113.437283468,53.6273703250001,22,2022/08/09 12:00:00+00,Non-Violent,Property,Fraud - Financial,165 AV/62 ST,9,8,2022,2022/08/09
-113.455465447,53.6037613120001,23,2022/08/09 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,141 AV/74 ST,9,8,2022,2022/08/09
-113.495566674,53.5439768590001,24,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,102 ST/POST RD,9,8,2022,2022/08/09
-113.432972811,53.631771691,25,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,168 AV/61 ST,9,8,2022,2022/08/09
-113.465508601,53.571951503,26,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,119 AV/81 ST,9,8,2022,2022/08/09
-113.521957244,53.565615333,27,2022/08/09 12:00:00+00,Non-Violent,Property,Theft Under $5000,115 AV/117 ST,9,8,2022,2022/08/09
-113.581157507,53.5655795850001,28,2022/08/09 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,151 ST/121 AV,9,8,2022,2022/08/09
-113.67372808,53.5586350510001,29,2022/08/08 12:00:00+00,Disorder,General Disorder,Suspicious Vehicle,111 AV/205 ST,8,8,2022,2022/08/08
-113.502709725,53.5589743990001,30,2022/08/08 12:00:00+00,Non-Violent,Property,Fraud Personal,111 AV/111 AV,8,8,2022,2022/08/08
-113.451909043,53.592260181,31,2022/08/08 12:00:00+00,Non-Violent,Property,Fraud - Financial,132 AV/132 AV,8,8,2022,2022/08/08
-113.484764908,53.593931012,32,2022/08/08 12:00:00+00,Non-Violent,Property,Internet Fraud,133 AV/93 ST,8,8,2022,2022/08/08
-113.533467945,53.6201745220001,33,2022/08/08 12:00:00+00,Non-Violent,Property,Break and Enter Residential,121 ST/159 AV,8,8,2022,2022/08/08
-113.414584931,53.4500782590001,34,2022/08/08 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,19 AV/48 ST,8,8,2022,2022/08/08
-113.503496459,53.5151900880001,35,2022/08/08 12:00:00+00,Non-Violent,Property,Break and Enter Residential,106 ST/79 AV,8,8,2022,2022/08/08
-113.470149046,53.5170223470001,36,2022/08/08 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,81 AV/93 ST,8,8,2022,2022/08/08
-113.459245686,53.5231373290001,37,2022/08/08 12:00:00+00,Disorder,General Disorder,Trouble with Person,85 ST/88 AV,8,8,2022,2022/08/08
-113.495660548,53.4665074960001,38,2022/08/08 12:00:00+00,Non-Violent,Property,Theft Under $5000,CALGARY TR/NOT NAMED RD,8,8,2022,2022/08/08
-113.447138723,53.4905581610001,39,2022/08/08 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,84 ST/ROPER RD,8,8,2022,2022/08/08
-113.55583777,53.5794659110001,40,2022/08/08 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,ST ALBERT TR/ST ALBERT TR,8,8,2022,2022/08/08
-113.44682589,53.5064901900001,41,2022/08/08 12:00:00+00,Non-Violent,Property,Theft Under $5000,79 ST/ARGYLL RD,8,8,2022,2022/08/08
-113.533318674,53.411350074,42,2022/08/08 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,119A ST SW/21 AV SW,8,8,2022,2022/08/08
-113.620564774,53.541369752,43,2022/08/08 12:00:00+00,Non-Violent,Property,Theft Under $5000,STONY PLAIN RD/175 ST,8,8,2022,2022/08/08
-113.516655163,53.4248914080001,44,2022/08/08 12:00:00+00,Violent,Personal Violence,Assault,111 ST SW/ELLERSLIE RD SW,8,8,2022,2022/08/08
-113.495067918,53.519059315,45,2022/08/08 12:00:00+00,Non-Violent,Property,Theft Under $5000,83 AV/GATEWAY BV,8,8,2022,2022/08/08
-113.439854008,53.5170478000001,46,2022/08/08 12:00:00+00,Disorder,General Disorder,Trespassing,73 ST/81 AV,8,8,2022,2022/08/08
-113.471584675,53.5361504540001,47,2022/08/08 12:00:00+00,Non-Violent,Property,Theft Under $5000,94 ST/97 AV,8,8,2022,2022/08/08
-113.526808597,53.543025705,48,2022/08/08 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,102 AV/119 ST,8,8,2022,2022/08/08
-113.479869171,53.453264448,49,2022/08/08 12:00:00+00,Non-Violent,Property,Theft Under $5000,23 AV/PARSONS RD,8,8,2022,2022/08/08
-113.499414234,53.556694475,50,2022/08/08 12:00:00+00,Violent,Personal Violence,Assault,KINGSWAY /KINGSWAY ,8,8,2022,2022/08/08
-113.55397874,53.4234240580001,51,2022/08/08 12:00:00+00,Disorder,General Disorder,Trouble with Person,GRAYDON HILL PT SW/GRAYDON HILL PT SW,8,8,2022,2022/08/08
-113.495558028,53.553019346,52,2022/08/08 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,102 ST/108 AV,8,8,2022,2022/08/08
-113.497390901,53.5445940930001,53,2022/08/07 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,103 AV/103 ST,7,8,2022,2022/08/07
-113.441313602,53.5876357750001,54,2022/08/07 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,129 AV/65 ST,7,8,2022,2022/08/07
-113.574304049,53.5463099720001,55,2022/08/07 12:00:00+00,Weapons,Weapons Violations,Weapons Complaint Firearm,104 AV/147 ST,7,8,2022,2022/08/07
-113.512731231,53.475798131,56,2022/08/07 12:00:00+00,Non-Violent,Property,Break and Enter Residential,109 ST/40 AV,7,8,2022,2022/08/07
-113.516610969,53.5019798050001,57,2022/08/07 12:00:00+00,Disorder,General Disorder,Trouble with Person,111 ST/65 AV,7,8,2022,2022/08/07
-113.504151788,53.5127511920001,58,2022/08/07 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,106 ST/UNIVERSITY AV,7,8,2022,2022/08/07
-113.59736295,53.5283467070001,59,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,160 ST/93 AV,7,8,2022,2022/08/07
-113.46442981,53.454270964,60,2022/08/07 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,25A AV/89 ST,7,8,2022,2022/08/07
-113.48700432,53.6269202780001,61,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,165 AV/95 ST,7,8,2022,2022/08/07
-113.474271869,53.5585564850001,62,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,STADIUM RD/STADIUM RD,7,8,2022,2022/08/07
-113.537614604,53.471168628,63,2022/08/07 12:00:00+00,Violent,Personal Violence,Assault,118 ST/37 AV,7,8,2022,2022/08/07
-113.46182318,53.5751360260001,64,2022/08/07 12:00:00+00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,121 AV/79 ST,7,8,2022,2022/08/07
-113.474416798,53.5735457390001,65,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,120 AV/87 ST,7,8,2022,2022/08/07
-113.614661774,53.395728181,66,2022/08/07 12:00:00+00,Non-Violent,Property,Fire Arson,RANGE ROAD 253  /170 ST SW,7,8,2022,2022/08/07
-113.399940772,53.5719107670001,67,2022/08/07 12:00:00+00,Violent,Personal Violence,Robbery Personal,119 AV/38 ST,7,8,2022,2022/08/07
-113.396288527,53.6028642160001,68,2022/08/07 12:00:00+00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,139 AV/36 ST,7,8,2022,2022/08/07
-113.485024964,53.5564678060001,69,2022/08/07 12:00:00+00,Violent,Personal Violence,Assault,109 AV/95 ST,7,8,2022,2022/08/07
-113.61552468,53.504721655,70,2022/08/07 12:00:00+00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,69 AV/170 ST,7,8,2022,2022/08/07
-113.551453402,53.56323674,71,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,114 AV/GROAT RD,7,8,2022,2022/08/07
-113.551453402,53.56323674,72,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,114 AV/GROAT RD,7,8,2022,2022/08/07
-113.63011158,53.523759544,73,2022/08/07 12:00:00+00,Non-Violent,Property,Internet Fraud,178 ST/89 AV,7,8,2022,2022/08/07
-113.519454896,53.544600372,74,2022/08/07 12:00:00+00,Disorder,General Disorder,Trouble with Person,103 AV/115 ST,7,8,2022,2022/08/07
-113.577602874,53.4335644330001,75,2022/08/07 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Abandoned Vehicle,RABBIT HILL RD/RABBIT HILL RD,7,8,2022,2022/08/07
-113.368625525,53.4810226560001,76,2022/08/07 12:00:00+00,Non-Violent,Property,Theft Under $5000,17 ST/17 ST,7,8,2022,2022/08/07
-113.500767906,53.5984437700001,77,2022/08/06 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,104A ST/136 AV,6,8,2022,2022/08/06
-113.467305859,53.5735479470001,78,2022/08/06 12:00:00+00,Disorder,General Disorder,Trespassing,120 AV/82 ST,6,8,2022,2022/08/06
-113.596403855,53.509807305,79,2022/08/06 12:00:00+00,Disorder,General Disorder,Trouble with Person,159 ST/78 AV,6,8,2022,2022/08/06
-113.439858134,53.5142006840001,80,2022/08/06 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,73 ST/78 AV,6,8,2022,2022/08/06
-113.439854008,53.5170478000001,81,2022/08/06 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,73 ST/81 AV,6,8,2022,2022/08/06
-113.664326723,53.438017712,82,2022/08/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,199 ST/GRANDISLE RD,6,8,2022,2022/08/06
-113.489164197,53.5445551340001,83,2022/08/06 12:00:00+00,Disorder,General Disorder,Trouble with Person,102A AV/99 ST,6,8,2022,2022/08/06
-113.494456845,53.5217269290001,84,2022/08/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,102 ST/102 ST,6,8,2022,2022/08/06
-113.421375334,53.52151616,85,2022/08/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,54 ST/89 AV,6,8,2022,2022/08/06
-113.48116935,53.5642772130001,86,2022/08/06 12:00:00+00,Non-Violent,Property,Break and Enter Residential,114 AV/91 ST,6,8,2022,2022/08/06
-113.459528369,53.5719919590001,87,2022/08/06 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,119 AV/77 ST,6,8,2022,2022/08/06
-113.495571498,53.5409307050001,88,2022/08/06 12:00:00+00,Violent,Personal Violence,Assault,102 ST/JASPER AV,6,8,2022,2022/08/06
-113.63982096,53.543310444,89,2022/08/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,102 AV/184 ST,6,8,2022,2022/08/06
-113.627335971,53.503530864,90,2022/08/06 12:00:00+00,Disorder,General Disorder,Trouble with Person,69 AV/177 ST,6,8,2022,2022/08/06
-113.464044241,53.5712886260001,91,2022/10/29 12:00:00+00,Non-Violent,Property,Theft Under $5000,80 ST/FORT RD,29,10,2022,2022/10/29
-113.523387236,53.5875809280001,92,2022/10/29 12:00:00+00,Non-Violent,Property,Theft Under $5000,117 ST/129 AV,29,10,2022,2022/10/29
-113.587268884,53.5589115450001,93,2022/10/29 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,154 ST/111 AV,29,10,2022,2022/10/29
-113.602687755,53.540267111,94,2022/10/29 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,100A AV/163 ST,29,10,2022,2022/10/29
-113.411752581,53.593463618,95,2022/10/29 12:00:00+00,Non-Violent,Property,Fraud - Financial,133 AV/47 ST,29,10,2022,2022/10/29
-113.427894117,53.5431059840001,96,2022/10/29 12:00:00+00,Non-Violent,Property,Theft Under $5000,62 ST/102 AV,29,10,2022,2022/10/29
-113.519941567,53.5132158260001,97,2022/10/29 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,112 ST/77 AV,29,10,2022,2022/10/29
-113.467444228,53.5231731420001,98,2022/10/29 12:00:00+00,Disorder,General Disorder,Trouble with Person,91 ST/91 ST,29,10,2022,2022/10/29
-113.487191013,53.5657912390001,99,2022/10/29 12:00:00+00,Disorder,General Disorder,Suspicious Vehicle,115 AV/95 ST,29,10,2022,2022/10/29
-113.49461676,53.5123419170001,100,2022/10/29 12:00:00+00,Disorder,General Disorder,Trouble with Person,76 AV/GATEWAY BV,29,10,2022,2022/10/29
-113.415244145,53.5918845640001,101,2022/10/29 12:00:00+00,Disorder,General Disorder,Trouble with Person,131 AV/131 AV,29,10,2022,2022/10/29
-113.415244145,53.5918845640001,102,2022/10/29 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,131 AV/131 AV,29,10,2022,2022/10/29
-113.462900576,53.4448165790001,103,2022/10/29 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,16 AV/KNOTTWOOD RD,29,10,2022,2022/10/29
-113.643587453,53.5403932180001,104,2022/10/29 12:00:00+00,Non-Violent,Property,Theft Under $5000,NOT NAMED RD/NOT NAMED RD,29,10,2022,2022/10/29
-113.455579455,53.543120296,105,2022/10/29 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,102 AV/83 ST,29,10,2022,2022/10/29
-113.535940955,53.5684237740001,106,2022/10/29 12:00:00+00,Disorder,General Disorder,Trouble with Person,117 AV/124 ST,29,10,2022,2022/10/29
-113.58022636,53.541297474,107,2022/10/29 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,STONY PLAIN RD/151 ST,29,10,2022,2022/10/29
-113.515120409,53.598396762,108,2022/10/29 12:00:00+00,Disorder,General Disorder,Trouble with Person,113 ST/136 AV,29,10,2022,2022/10/29
-113.620564774,53.541369752,109,2022/10/29 12:00:00+00,Non-Violent,Property,Theft Under $5000,STONY PLAIN RD/175 ST,29,10,2022,2022/10/29
-113.55549928,53.5605284700001,110,2022/10/29 12:00:00+00,Non-Violent,Property,Theft Under $5000,135 ST/WEST MOUNT TC,29,10,2022,2022/10/29
-113.392725075,53.442316437,111,2022/10/29 12:00:00+00,Non-Violent,Property,Break and Enter Residential,15A AV/33B ST,29,10,2022,2022/10/29
-113.497682579,53.5092653080001,112,2022/10/29 12:00:00+00,Disorder,General Disorder,Trespassing,104 ST/73 AV,29,10,2022,2022/10/29
-113.36185159,53.46084001,113,2022/10/29 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,30 AV/11 ST,29,10,2022,2022/10/29
-113.4919108,53.5498966650001,114,2022/10/29 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,100 ST/106 AV,29,10,2022,2022/10/29
-113.538641212,53.403785123,115,2022/10/29 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,JAMES MOWATT TR SW/JAMES MOWATT TR SW,29,10,2022,2022/10/29
-113.497661987,53.5116677840001,116,2022/10/29 12:00:00+00,Disorder,General Disorder,Trespassing,104 ST/UNIVERSITY AV,29,10,2022,2022/10/29
-113.399535803,53.424953644,117,2022/10/29 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,CHARLESWORTH WY SW/ELLERSLIE RD SW,29,10,2022,2022/10/29
-113.58513098,53.5541550500001,118,2022/10/28 12:00:00+00,Non-Violent,Property,Break and Enter Residential,109 AV/153 ST,28,10,2022,2022/10/28
-113.586811953,53.5315337210001,119,2022/10/28 12:00:00+00,Disorder,General Disorder,Trouble with Person,154 ST/95 AV,28,10,2022,2022/10/28
