Neighbourhood Name,Neighbourhood Number,Descriptive Name
ABBOTTSFIELD,2010,Abbottsfield
ALBANY,3460,Albany
ALBERTA AVENUE,1010,Alberta Avenue
ALBERTA PARK INDUSTRIAL,4010,Alberta Park Industrial
ALCES,6669,Alces
ALDERGROVE,4020,Aldergrove
ALLARD,5458,Allard
ALLENDALE,5010,Allendale
AMBLESIDE,5505,Ambleside
ANTHONY HENDAY,4011,Anthony Henday
ANTHONY HENDAY BIG LAKE,4018,Anthony Henday Big Lake
ANTHONY HENDAY CASTLEDOWNS,4016,Anthony Henday Castledowns
ANTHONY HENDAY CLAREVIEW,4022,Anthony Henday Clareview
ANTHONY HENDAY ENERGY PARK,4019,Anthony Henday Energy Park
ANTHONY HENDAY HORSE HILL,4021,Anthony Henday Horse Hill
ANTHONY HENDAY LAKE DISTRICT,4017,Anthony Henday Lake District
ANTHONY HENDAY MISTATIM,4015,Anthony Henday Mistatim
ANTHONY HENDAY RAMPART,4023,Anthony Henday Rampart
ANTHONY HENDAY SOUTH,4014,Anthony Henday South
ANTHONY HENDAY SOUTH BLACKBURNE,4024,Anthony Henday South Blackburne
ANTHONY HENDAY SOUTH EAST,6665,Anthony Henday South East
ANTHONY HENDAY SOUTH WEST,4012,Anthony Henday South West
ANTHONY HENDAY TERWILLEGAR,4013,Anthony Henday Terwillegar
ARGYLL,6010,Argyll
ARMSTRONG INDUSTRIAL,4030,Armstrong Industrial
ASPEN GARDENS,5020,Aspen Gardens
ASTER,6445,Aster
ATHLONE,3010,Athlone
AVONMORE,6020,Avonmore
BALWIN,2020,Balwin
BANNERMAN,2030,Bannerman
BARANOW,3020,Baranow
BATURYN,3030,Baturyn
BEACON HEIGHTS,2040,Beacon Heights
BEARSPAW,5030,Bearspaw
BEAUMARIS,3040,Beaumaris
BELGRAVIA,5040,Belgravia
BELLE RIVE,2050,Belle Rive
BELLEVUE,2060,Bellevue
BELMEAD,4040,Belmead
BELMONT,2070,Belmont
BELVEDERE,2080,Belvedere
BERGMAN,2090,Bergman
BEVERLY HEIGHTS,2100,Beverly Heights
BISSET,6030,Bisset
BLACKBURNE,5590,Blackburne
BLACKMUD CREEK,5453,Blackmud Creek
BLACKMUD CREEK RAVINE,5050,Blackmud Creek Ravine
BLATCHFORD AREA,1111,Blatchford Area
BLUE QUILL,5060,Blue Quill
BLUE QUILL ESTATES,5070,Blue Quill Estates
BONAVENTURE INDUSTRIAL,4050,Bonaventure Industrial
BONNIE DOON,6040,Bonnie Doon
BOYLE STREET,1020,Boyle Street
BRANDER GARDENS,5080,Brander Gardens
BRECKENRIDGE GREENS,4700,Breckenridge Greens
BRINTNELL,2110,Brintnell
BRITANNIA YOUNGSTOWN,4060,Britannia Youngstown
BROOKSIDE,5090,Brookside
BROWN INDUSTRIAL,3050,Brown Industrial
BULYEA HEIGHTS,5100,Bulyea Heights
CAERNARVON,3060,Caernarvon
CALDER,3070,Calder
CALGARY TRAIL NORTH,5110,Calgary Trail North
CALGARY TRAIL SOUTH,5120,Calgary Trail South
CALLAGHAN,5457,Callaghan
CALLINGWOOD NORTH,4070,Callingwood North
CALLINGWOOD SOUTH,4080,Callingwood South
CAMERON HEIGHTS,4466,Cameron Heights
CANON RIDGE,2120,Canon Ridge
CANORA,4090,Canora
CANOSSA,3080,Canossa
CAPILANO,6061,Capilano
CARLETON SQUARE INDUSTRIAL,4100,Carleton Square Industrial
CARLISLE,3090,Carlisle
CARLTON,3470,Carlton
CARTER CREST,5130,Carter Crest
CASHMAN,5466,Cashman
CASSELMAN,2130,Casselman
CAVANAGH,5467,Cavanagh
CENTRAL MCDOUGALL,1030,Central McDougall
CHAMBERY,3120,Chambery
CHAPPELLE,5462,Chappelle
CHARLESWORTH,6661,Charlesworth
CLAREVIEW TOWN CENTRE,2145,Clareview Town Centre
CLOVER BAR AREA,2160,Clover Bar Area
CLOVERDALE,6070,Cloverdale
CORONET ADDITION INDUSTRIAL,6090,Coronet Addition Industrial
CORONET INDUSTRIAL,6100,Coronet Industrial
CPR IRVINE,6110,CPR Irvine
CRAWFORD PLAINS,6140,Crawford Plains
CRESTWOOD,3140,Crestwood
CROMDALE,1070,Cromdale
CRYSTALLINA NERA EAST,2462,Crystallina Nera East
CRYSTALLINA NERA WEST,2463,Crystallina Nera West
CUMBERLAND,3150,Cumberland
CY BECKER,2611,Cy Becker
DALY GROVE,6150,Daly Grove
DAVIES INDUSTRIAL EAST,6160,Davies Industrial East
DAVIES INDUSTRIAL WEST,6170,Davies Industrial West
DECHENE,4110,Dechene
DECOTEAU,6663,Decoteau
DELTON,1080,Delton
DELWOOD,2230,Delwood
DESROCHERS AREA,5463,Desrochers Area
DOMINION INDUSTRIAL,3160,Dominion Industrial
DONSDALE,4120,Donsdale
DOVERCOURT,3170,Dovercourt
DOWNTOWN,1090,Downtown
DUGGAN,5160,Duggan
DUNLUCE,3180,Dunluce
EASTGATE BUSINESS PARK,6180,Eastgate Business Park
EASTWOOD,1100,Eastwood
EAUX CLAIRES,2241,Eaux Claires
EBBERS,2251,Ebbers
EDGEMONT,4462,Edgemont
EDMISTON INDUSTRIAL,4130,Edmiston Industrial
EDMONTON ENERGY AND TECHNOLOGY PARK,2681,Edmonton Energy And Technology Park
EDMONTON NORTHLANDS,1120,Edmonton Northlands
EDMONTON RESEARCH AND DEVELOPMENT PARK,6190,Edmonton Research and Development Park
EDMONTON SOUTH CENTRAL,8887,Edmonton South Central
EDMONTON SOUTH CENTRAL EAST,8885,Edmonton South Central East
EDMONTON SOUTH EAST,8886,Edmonton South East
EDMONTON SOUTH WEST,8888,Edmonton South West
EKOTA,6200,Ekota
ELLERSLIE,6211,Ellerslie
ELLERSLIE INDUSTRIAL,6214,Ellerslie Industrial
ELMWOOD,4140,Elmwood
ELMWOOD PARK,1130,Elmwood Park
ELSINORE,3190,Elsinore
EMPIRE PARK,5170,Empire Park
ERMINESKIN,5180,Ermineskin
EVANSDALE,2260,Evansdale
EVERGREEN,2270,Evergreen
FALCONER HEIGHTS,5190,Falconer Heights
FOREST HEIGHTS,6230,Forest Heights
FRASER,2280,Fraser
FULTON PLACE,6240,Fulton Place
GAGNON ESTATE INDUSTRIAL,4150,Gagnon Estate Industrial
GAINER INDUSTRIAL,6250,Gainer Industrial
GARIEPY,4160,Gariepy
GARNEAU,5200,Garneau
GARSIDE INDUSTRIAL,4170,Garside Industrial
GIRARD INDUSTRIAL,6260,Girard Industrial
GLASTONBURY,4720,Glastonbury
GLENGARRY,2290,Glengarry
GLENORA,3200,Glenora
GLENRIDDING HEIGHTS,5578,Glenridding Heights
GLENRIDDING RAVINE,5579,Glenridding Ravine
GLENWOOD,4180,Glenwood
GOLD BAR,6270,Gold Bar
GOODRIDGE CORNERS,3490,Goodridge Corners
GORMAN,2311,Gorman
GRANDVIEW HEIGHTS,5210,Grandview Heights
GRANVILLE,4551,Granville
GRAYDON HILL,5468,Graydon Hill
GREENFIELD,5220,Greenfield
GREENVIEW,6280,Greenview
GRIESBACH,3111,Griesbach
GROVENOR,3210,Grovenor
