nname,nnum,occ,pop,normpermil
Alberta Avenue,1010,370,6581,56.22245859
Boyle Street,1020,428,6761,63.30424493
Central McDougall,1030,496,5115,96.96969697
Cromdale,1070,81,2006,40.37886341
Delton,1080,119,1941,61.30860381
Downtown,1090,1182,12423,95.14609998
Eastwood,1100,306,4043,75.68637151
Elmwood Park,1130,22,1161,18.94918174
McCauley,1140,486,4738,102.5749261
Oliver,1150,527,18180,28.98789879
Parkdale,1160,212,3591,59.03648009
Prince Rupert,1170,236,1406,167.8520626
Queen Mary Park,1180,297,7408,40.09179266
Riverdale,1210,19,2004,9.481037924
Rossdale,1220,28,818,34.22982885
Spruce Avenue,1230,239,1865,128.150134
Virginia Park,1240,17,731,23.25581395
Westwood,1250,141,3435,41.04803493
Abbottsfield,2010,26,1775,14.64788732
Balwin,2020,96,4270,22.4824356
Bannerman,2030,43,2880,14.93055556
Beacon Heights,2040,68,2882,23.59472588
Belle Rive,2050,26,3695,7.036535859
Bellevue,2060,43,982,43.78818737
Belmont,2070,49,5186,9.448515233
Belvedere,2080,191,5194,36.77319985
Bergman,2090,13,1484,8.760107817
Beverly Heights,2100,147,3290,44.68085106
Brintnell,2110,35,6617,5.289406075
Canon Ridge,2120,28,2278,12.29148376
Casselman,2130,45,3772,11.9300106
Clareview Town Centre,2145,344,3726,92.32420827
Delwood,2230,71,3083,23.0295167
Eaux Claires,2241,129,3631,35.52740292
Ebbers,2251,25,724,34.53038674
Evansdale,2260,66,5630,11.72291297
Evergreen,2270,27,1348,20.02967359
Fraser,2280,44,3628,12.12789416
Glengarry,2290,147,3131,46.94985628
Hairsine,2320,19,2393,7.939824488
Highlands,2330,94,2690,34.94423792
Hollick-Kenyon,2340,33,6362,5.187048098
Homesteader,2350,53,3769,14.06208543
Kernohan,2390,32,3148,10.16518424
Kildare,2400,95,2747,34.58318165
Kilkenny,2410,46,5486,8.384979949
Killarney,2420,129,3991,32.32272613
Kirkness,2430,41,3944,10.39553753
Klarvatten,2440,35,5805,6.029285099
Lago Lindo,2450,37,3818,9.690937664
Crystallina Nera West,2463,37,2990,12.37458194
Matt Berry,2500,21,3944,5.324543611
Mayliewan,2511,18,4128,4.360465116
McLeod,2530,19,2222,8.550855086
Miller,2541,61,3235,18.85625966
Montrose,2550,98,3163,30.98324376
Newton,2560,44,2899,15.17764746
Northmount,2580,73,3401,21.46427521
Overlanders,2590,45,2940,15.30612245
Ozerna,2600,20,4115,4.860267315
Cy Becker,2611,24,1933,12.41593378
Rundle Heights,2660,38,3369,11.27931137
Rural North East Horse Hill,2670,15,411,36.49635036
Edmonton Energy And Technology Park,2681,6,461,13.01518438
Rural North East South Sturgeon,2690,10,629,15.89825119
Schonsee,2700,29,4367,6.640714449
Sifton Park,2710,45,2142,21.00840336
York,2720,59,3917,15.06254787
Athlone,3010,62,3156,19.64512041
Baranow,3020,254,2455,103.4623218
Baturyn,3030,45,4872,9.236453202
Beaumaris,3040,89,4529,19.65113712
Caernarvon,3060,58,4446,13.0454341
Calder,3070,101,4046,24.96292635
Canossa,3080,31,3238,9.573810994
Carlisle,3090,34,3933,8.644800407
Griesbach,3111,96,5731,16.75100332
Chambery,3120,17,2714,6.263817244
Crestwood,3140,21,2300,9.130434783
Cumberland,3150,50,6454,7.747133561
Dovercourt,3170,25,2024,12.35177866
Dunluce,3180,91,6356,14.31718062
Elsinore,3190,14,2509,5.579912316
Glenora,3200,25,3305,7.56429652
Grovenor,3210,41,2338,17.53635586
Inglewood,3240,198,7320,27.04918033
Kensington,3250,50,3678,13.59434475
Lauderdale,3260,129,2821,45.72846508
Laurier Heights,3270,11,2612,4.211332312
Lorelei,3280,49,4090,11.9804401
McQueen,3300,26,1737,14.96833621
North Glenora,3310,39,2043,19.08957416
Oxford,3320,28,4493,6.231916314
Parkview,3330,29,3373,8.597687519
Pembina,3340,52,725,71.72413793
Prince Charles,3350,57,1476,38.61788618
Rapperswill,3370,23,3020,7.61589404
Rosslyn,3390,85,3062,27.75963423
Sherbrooke,3410,35,2517,13.90544299
Wellington,3430,51,3194,15.96743895
Westmount,3440,137,5949,23.02908052
Woodcroft,3450,166,2603,63.77257011
Albany,3460,44,1776,24.77477477
Carlton,3470,26,5440,4.779411765
Hudson,3480,21,2730,7.692307692
Goodridge Corners,3490,26,1681,15.46698394
Aldergrove,4020,29,5304,5.467571644
Belmead,4040,189,4535,41.67585447
Britannia Youngstown,4060,249,4680,53.20512821
Callingwood North,4070,37,2400,15.41666667
Callingwood South,4080,130,5672,22.91960508
Canora,4090,116,3106,37.34707019
Dechene,4110,13,1614,8.054522924
Donsdale,4120,1,1493,0.6697923644
Elmwood,4140,28,2741,10.21524991
Gariepy,4160,5,1868,2.676659529
Glenwood,4180,169,4945,34.17593529
High Park,4200,76,1474,51.56037992
Jamieson Place,4220,18,3813,4.720692368
Jasper Park,4230,55,1946,28.2631038
La Perle,4240,44,5027,8.75273523
Lymburn,4270,33,5776,5.713296399
Lynnwood,4280,19,3417,5.560433128
Mayfield,4290,41,1974,20.77001013
Meadowlark Park,4310,84,2714,30.95062638
Oleskiw,4360,13,2869,4.531195539
Ormsby Place,4380,59,5367,10.99310602
Patricia Heights,4390,20,1761,11.35718342
Quesnell Heights,4420,1,330,3.03030303
Rio Terrace,4430,3,1279,2.345582486
The Hamptons,4461,52,12488,4.163997438
Edgemont,4462,16,3508,4.561003421
Riverview Area,4463,3,400,7.5
The Uplands,4464,1,269,3.717472119
Cameron Heights,4466,4,1912,2.092050209
Stillwater,4468,3,255,11.76470588
Trumpeter Area,4471,6,1599,3.752345216
Hawks Ridge,4473,4,742,5.39083558
Starling,4474,9,1510,5.960264901
Kinokamau Plains Area,4475,17,84,202.3809524
Stewart Greens,4486,5,896,5.580357143
Secord,4487,38,5506,6.901561932
Sherwood,4500,23,1288,17.85714286
Summerlea,4520,84,1894,44.35058078
Terra Losa,4540,80,2162,37.00277521
Granville,4551,18,2772,6.493506494
Thorncliff,4560,42,3612,11.62790698
Wedgewood Heights,4570,4,1506,2.656042497
West Jasper Place,4580,129,3002,42.97135243
West Meadowlark Park,4590,83,3259,25.46793495
Westridge,4610,9,1320,6.818181818
Westview Village,4620,16,2124,7.532956685
Breckenridge Greens,4700,10,1856,5.387931034
Potter Greens,4710,10,1456,6.868131868
Glastonbury,4720,52,6393,8.133896449
Suder Greens,4730,39,3408,11.44366197
Webber Greens,4740,8,2873,2.784545771
Rosenthal,4750,31,3650,8.493150685
Allendale,5010,117,2728,42.88856305
Aspen Gardens,5020,11,1623,6.777572397
Bearspaw,5030,10,2045,4.88997555
Belgravia,5040,35,2275,15.38461538
Blue Quill,5060,47,4594,10.23073574
Blue Quill Estates,5070,4,1358,2.9455081
Brander Gardens,5080,30,2281,13.15212626
Brookside,5090,16,1980,8.080808081
Bulyea Heights,5100,15,3500,4.285714286
Carter Crest,5130,4,1645,2.431610942
Duggan,5160,57,4582,12.43998254
Empire Park,5170,234,4951,47.26317916
Ermineskin,5180,96,5618,17.08793165
Falconer Heights,5190,6,1922,3.121748179
Garneau,5200,153,7108,21.52504221
Grandview Heights,5210,6,1181,5.080440305
Greenfield,5220,20,3628,5.512679162
Henderson Estates,5230,1,1805,0.5540166205
Keheewin,5250,80,2626,30.46458492
Lansdowne,5260,8,1293,6.18716164
Lendrum Place,5270,36,1787,20.14549524
Malmo Plains,5280,30,2990,10.03344482
McKernan,5290,56,2741,20.43049982
Ogilvie Ridge,5300,1,993,1.007049345
Parkallen,5310,49,2258,21.70062002
Pleasantview,5320,112,4052,27.64067127
Queen Alexandra,5330,451,5123,88.03435487
Ramsay Heights,5340,28,3362,8.328375967
Rhatigan Ridge,5350,11,3146,3.496503497
Rideau Park,5360,40,1953,20.4813108
Royal Gardens,5430,37,3544,10.44018059
Richford,5451,4,823,4.860267315
MacEwan,5452,56,6061,9.239399439
Blackmud Creek,5453,27,2777,9.722722362
Rutherford,5454,45,11486,3.91781299
Callaghan,5457,16,4000,4
Allard,5458,23,6847,3.359135388
Skyrattler,5460,34,2099,16.19818961
Chappelle Area,5462,56,8326,6.725918809
Desrochers Area,5463,21,1133,18.5348632
Heritage Valley Town Centre Area,5464,48,634,75.70977918
Hays Ridge Area,5465,7,438,15.98173516
Cavanagh,5467,10,956,10.46025105
Graydon Hill,5468,4,604,6.622516556
Paisley,5469,10,1334,7.496251874
Steinhauer,5470,30,2061,14.55604076
Magrath Heights,5476,31,3800,8.157894737
Mactaggart,5477,9,3381,2.661934339
Strathcona,5480,214,9173,23.3293361
Sweet Grass,5490,22,2588,8.500772798
Ambleside,5505,39,6173,6.317835736
Twin Brooks,5511,20,6013,3.326126725
Westbrook Estates,5540,5,1142,4.378283713
Windermere,5570,88,11251,7.821526975
Glenridding Heights,5578,4,3793,1.054574216
Windsor Park,5580,20,1483,13.48617667
Blackburne,5590,8,1424,5.617977528
Haddow,5610,7,4260,1.643192488
Hodgson,5620,9,2629,3.423354888
Leger,5630,28,2430,11.52263374
Terwillegar Towne,5640,30,6526,4.596996629
South Terwillegar,5642,41,9753,4.203834718
Argyll,6010,15,805,18.63354037
Avonmore,6020,31,2131,14.54716096
Bisset,6030,30,4240,7.075471698
Bonnie Doon,6040,183,4726,38.72196361
Capilano,6061,28,2703,10.35886053
Cloverdale,6070,23,868,26.49769585
CPR Irvine,6110,39,173,225.433526
Crawford Plains,6140,53,4373,12.11982621
Daly Grove,6150,28,3724,7.518796992
Ekota,6200,27,2611,10.34086557
Ellerslie,6211,37,5850,6.324786325
Summerside,6213,94,16055,5.854873871
The Orchards At Ellerslie,6216,30,4126,7.270964615
Forest Heights,6230,102,3849,26.50038971
Fulton Place,6240,23,2222,10.3510351
Gold Bar,6270,27,2822,9.567682495
Greenview,6280,27,2763,9.771986971
Hazeldean,6290,40,3293,12.14697844
Hillview,6300,38,3527,10.77402892
Holyrood,6310,54,3294,16.39344262
Idylwylde,6320,42,1769,23.74222725
Jackson Heights,6330,25,4085,6.11995104
Kameyosek,6340,44,2681,16.41178665
Kenilworth,6350,26,2444,10.63829787
King Edward Park,6360,96,4825,19.89637306
Kiniski Gardens,6370,35,6485,5.397070162
Larkspur,6390,29,5512,5.261248186
Lee Ridge,6400,42,2642,15.89704769
Maple Ridge,6410,13,1626,7.995079951
Maple,6441,35,2517,13.90544299
Silver Berry,6442,79,8386,9.420462676
Tamarack,6443,112,6417,17.45363877
Laurel,6444,61,12149,5.020989382
Menisa,6450,40,2377,16.82793437
Meyokumin,6460,59,2916,20.23319616
Meyonohk,6470,37,2844,13.00984529
Michaels Park,6480,21,2020,10.3960396
Mill Woods Town Centre,6520,134,1188,112.7946128
Minchau,6530,31,3131,9.900990099
Ottewell,6550,237,5959,39.77177379
Pollard Meadows,6580,41,4553,9.005051614
Richfield,6600,28,3320,8.43373494
Ritchie,6610,163,4238,38.46153846
Charlesworth,6661,89,6667,13.34933253
Walker,6662,81,11580,6.994818653
Decoteau,6663,1,186,5.376344086
Sakaw,6670,74,4150,17.8313253
Satoo,6680,58,3288,17.63990268
Strathearn,6710,26,2580,10.07751938
Tawa,6720,87,2019,43.09063893
Terrace Heights,6730,50,2209,22.63467632
Tipaskan,6750,44,2657,16.56003011
Tweddle Place,6760,31,2994,10.35404142
Weinlos,6770,29,3352,8.651551313
Wild Rose,6790,39,8531,4.571562537
