Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,34000.00,40
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,39700.00,90
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,24400.00,30
Certificate,1,10. Communications technologies/technicians and support services,10.03. Graphic communications,31300.00,100
Certificate,1,11. Computer and information sciences and support services,11.02. Computer programming,57400.00,30
Certificate,1,11. Computer and information sciences and support services,11.08. Computer software and media applications,43200.00,90
Certificate,1,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,48400.00,70
Certificate,1,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,44800.00,170
Certificate,1,12. Personal and culinary services,12.03. Funeral service and mortuary science,51300.00,20
Certificate,1,12. Personal and culinary services,12.04. Cosmetology and related personal grooming services,24800.00,50
Certificate,1,12. Personal and culinary services,12.05. Culinary arts and related services,27500.00,310
Certificate,1,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,52600.00,20
Certificate,1,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,47800.00,40
Certificate,1,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,59000.00,180
Certificate,1,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,43900.00,160
Certificate,1,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,87200.00,90
Certificate,1,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,68500.00,70
Certificate,1,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,50400.00,60
Certificate,1,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,56300.00,110
Certificate,1,"16. Aboriginal and foreign languages, literatures and linguistics",16.16. Sign language,30500.00,20
Certificate,1,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",21300.00,560
Certificate,1,22. Legal professions and studies,22.03. Legal support services,40200.00,70
Certificate,1,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",38600.00,30
Certificate,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,35600.00,90
Certificate,1,43. Security and protective services,43.01. Criminal justice and corrections,43100.00,60
Certificate,1,43. Security and protective services,43.02. Fire protection,47900.00,630
Certificate,1,43. Security and protective services,"43.99. Security and protective services, other",46600.00,90
Certificate,1,46. Construction trades,"46.00. Construction trades, general",33800.00,30
Certificate,1,46. Construction trades,46.02. Carpentry/carpenter,33300.00,110
Certificate,1,46. Construction trades,46.03. Electrical and power transmission installers,42100.00,270
Certificate,1,46. Construction trades,"46.04. Building/construction finishing, management and inspection",16800.00,30
Certificate,1,46. Construction trades,46.05. Plumbing and related water supply services,41800.00,120
Certificate,1,47. Mechanic and repair technologies/technicians,47.03. Heavy/industrial equipment maintenance technologies,56100.00,250
Certificate,1,47. Mechanic and repair technologies/technicians,47.05. Stationary energy sources installer and operatorCAN,88000.00,1000
Certificate,1,47. Mechanic and repair technologies/technicians,47.06. Vehicle maintenance and repair technologies,35700.00,570
Certificate,1,48. Precision production,48.05. Precision metal working,40600.00,240
Certificate,1,48. Precision production,48.07. Woodworking,35000.00,190
Certificate,1,49. Transportation and materials moving,49.02. Ground transportation,39300.00,220
Certificate,1,50. Visual and performing arts,50.04. Design and applied arts,25900.00,70
Certificate,1,51. Health professions and related programs,51.06. Dental support services and allied professions,42900.00,450
Certificate,1,51. Health professions and related programs,51.07. Health and medical administrative services,35200.00,1540
Certificate,1,51. Health professions and related programs,51.08. Allied health and medical assisting services,38000.00,2660
Certificate,1,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",37900.00,250
Certificate,1,51. Health professions and related programs,51.15. Mental and social health services and allied professions,43300.00,70
Certificate,1,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,53100.00,100
Certificate,1,51. Health professions and related programs,51.26. Health aides/attendants/orderlies,32600.00,3360
Certificate,1,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",82400.00,320
Certificate,1,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants",47500.00,50
Certificate,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",34400.00,230
Certificate,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,41000.00,560
Certificate,1,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,35400.00,1350
Certificate,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,27900.00,40
Certificate,1,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,27700.00,50
Certificate,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,47900.00,300
Certificate,1,"52. Business, management, marketing and related support services",52.14. Marketing,32500.00,20
Certificate,1,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",30900.00,90
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,40300.00,80
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,37100.00,110
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,24500.00,40
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,31900.00,120
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,33600.00,70
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,26400.00,30
Diploma,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,39900.00,210
Diploma,1,03. Natural resources and conservation,03.02. Natural resources management and policy,43500.00,240
Diploma,1,03. Natural resources and conservation,03.05. Forestry,53700.00,70
Diploma,1,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,39300.00,30
Diploma,1,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",43600.00,80
Diploma,1,04. Architecture and related services,04.09. Architectural sciences and technology,44300.00,620
Diploma,1,"09. Communication, journalism and related programs",09.04. Journalism,31700.00,280
Diploma,1,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication",35900.00,500
Diploma,1,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication",50200.00,170
Diploma,1,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,33500.00,120
Diploma,1,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,32500.00,170
Diploma,1,10. Communications technologies/technicians and support services,10.03. Graphic communications,33200.00,190
Diploma,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",42500.00,100
Diploma,1,11. Computer and information sciences and support services,11.08. Computer software and media applications,38700.00,130
Diploma,1,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,50000.00,110
Diploma,1,12. Personal and culinary services,12.05. Culinary arts and related services,31100.00,600
Diploma,1,13. Education,13.10. Special education and teaching,69400.00,20
Diploma,1,13. Education,13.15. Teaching assistants/aides,23700.00,60
Diploma,1,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,59800.00,410
Diploma,1,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,59500.00,600
Diploma,1,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,66600.00,640
Diploma,1,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,46800.00,220
Diploma,1,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,68900.00,50
Diploma,1,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,67800.00,120
Diploma,1,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,55800.00,400
Diploma,1,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,66700.00,370
Diploma,1,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,63800.00,210
Diploma,1,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,55900.00,160
Diploma,1,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,47500.00,520
Diploma,1,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,49200.00,470
Diploma,1,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other",61000.00,280
Diploma,1,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",34500.00,670
Diploma,1,22. Legal professions and studies,22.03. Legal support services,39500.00,590
Diploma,1,23. English language and literature/letters,23.13. English rhetoric and composition/writing studies,37700.00,50
Diploma,1,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",20100.00,120
Diploma,1,25. Library science,25.03. Library and archives assisting,34800.00,80
Diploma,1,25. Library science,"25.99. Library science, other",35700.00,90
Diploma,1,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",28300.00,30
Diploma,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,31700.00,240
Diploma,1,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,38000.00,60
Diploma,1,41. Science technologies/technicians,41.03. Physical science technologies/technicians,46800.00,220
Diploma,1,43. Security and protective services,43.01. Criminal justice and corrections,42200.00,870
Diploma,1,43. Security and protective services,43.02. Fire protection,56500.00,30
Diploma,1,47. Mechanic and repair technologies/technicians,47.03. Heavy/industrial equipment maintenance technologies,74900.00,110
Diploma,1,47. Mechanic and repair technologies/technicians,47.05. Stationary energy sources installer and operatorCAN,123700.00,300
Diploma,1,47. Mechanic and repair technologies/technicians,47.06. Vehicle maintenance and repair technologies,42000.00,420
Diploma,1,48. Precision production,48.05. Precision metal working,66700.00,50
Diploma,1,48. Precision production,48.08. Boilermaking/boilermaker,102900.00,170
Diploma,1,49. Transportation and materials moving,49.01. Air transportation,36600.00,70
Diploma,1,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",21500.00,30
Diploma,1,50. Visual and performing arts,50.04. Design and applied arts,33600.00,560
Diploma,1,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,20600.00,170
