Neighbourhood,Assessed Value,nnum,descname
ABBOTTSFIELD,152739.7606,2010,Abbottsfield
ALBANY,206913.6797,3460,Albany
ALBERTA AVENUE,231683.079,1010,Alberta Avenue
ALDERGROVE,308283.7678,4020,Aldergrove
ALLARD,350804.8623,5458,Allard
ALLENDALE,405949.4721,5010,Allendale
AMBLESIDE,276737.9805,5505,Ambleside
ARGYLL,365675.0802,6010,Argyll
ASPEN GARDENS,419982.3754,5020,Aspen Gardens
ATHLONE,299080.1171,3010,Athlone
AVONMORE,339796.2085,6020,Avonmore
BALWIN,251106.8609,2020,Balwin
BANNERMAN,229210.4334,2030,Bannerman
BARANOW,117279.2346,3020,Baranow
BATURYN,299894.6444,3030,Baturyn
BEACON HEIGHTS,249330.6345,2040,Beacon Heights
BEARSPAW,415807.8608,5030,Bearspaw
BEAUMARIS,293625.4536,3040,Beaumaris
BELGRAVIA,549231.4577,5040,Belgravia
BELLE RIVE,412551.1046,2050,Belle Rive
BELLEVUE,332075.7962,2060,Bellevue
BELMEAD,317588.4198,4040,Belmead
BELMONT,234927.7309,2070,Belmont
BELVEDERE,188484.3933,2080,Belvedere
BERGMAN,280445.3356,2090,Bergman
BEVERLY HEIGHTS,305060.3034,2100,Beverly Heights
BISSET,273416.7566,6030,Bisset
BLACKBURNE,383988.1502,5590,Blackburne
BLACKMUD CREEK,341502.9383,5453,Blackmud Creek
BLUE QUILL,305734.4498,5060,Blue Quill
BLUE QUILL ESTATES,481821.36,5070,Blue Quill Estates
BONNIE DOON,413082.7246,6040,Bonnie Doon
BOYLE STREET,135691.1873,1020,Boyle Street
BRANDER GARDENS,350442.9562,5080,Brander Gardens
BRECKENRIDGE GREENS,245743.847,4700,Breckenridge Greens
BRINTNELL,393943.6741,2110,Brintnell
BRITANNIA YOUNGSTOWN,233914.1414,4060,Britannia Youngstown
BROOKSIDE,571028.3058,5090,Brookside
BULYEA HEIGHTS,546102.5326,5100,Bulyea Heights
CAERNARVON,266716.9949,3060,Caernarvon
CALDER,256775.3217,3070,Calder
CALLAGHAN,434150.5194,5457,Callaghan
CALLINGWOOD NORTH,168918.9162,4070,Callingwood North
CALLINGWOOD SOUTH,144422.8836,4080,Callingwood South
CAMERON HEIGHTS,668040.6349,4466,Cameron Heights
CANON RIDGE,135750.6613,2120,Canon Ridge
CANORA,231181.6143,4090,Canora
CANOSSA,386428.7562,3080,Canossa
CAPILANO,407176.9642,6061,Capilano
CARLISLE,296054.6931,3090,Carlisle
CARLTON,383427.9694,3470,Carlton
CARTER CREST,499889.3293,5130,Carter Crest
CASSELMAN,238122.4166,2130,Casselman
CAVANAGH,378499.1029,5467,Cavanagh
CENTRAL MCDOUGALL,150902.4433,1030,Central McDougall
CHAMBERY,505376.8134,3120,Chambery
CHAPPELLE AREA,359189.4867,5462,Chappelle
CHARLESWORTH,331664.4247,6661,Charlesworth
CLAREVIEW TOWN CENTRE,149395.5883,2145,Clareview Town Centre
CLOVERDALE,275670.9119,6070,Cloverdale
CRAWFORD PLAINS,306992.8505,6140,Crawford Plains
CRESTWOOD,730123.7038,3140,Crestwood
CROMDALE,183994.2296,1070,Cromdale
CRYSTALLINA NERA WEST,307646.062,2463,Crystallina Nera West
CUMBERLAND,320893.4365,3150,Cumberland
CY BECKER,356474.0028,2611,Cy Becker
DALY GROVE,296699.2364,6150,Daly Grove
DECHENE,423158.4736,4110,Dechene
DECOTEAU,900061.5385,6663,Decoteau
DELTON,264891.5531,1080,Delton
DELWOOD,285376.7933,2230,Delwood
DESROCHERS AREA,422098.2622,5463,Desrochers Area
DONSDALE,663827.109,4120,Donsdale
DOVERCOURT,307579.8143,3170,Dovercourt
DOWNTOWN,154669.5532,1090,Downtown
DUGGAN,365773.9478,5160,Duggan
DUNLUCE,270645.9714,3180,Dunluce
EASTWOOD,229620.6532,1100,Eastwood
EAUX CLAIRES,229512.3947,2241,Eaux Claires
EBBERS,237151.9248,2251,Ebbers
EDGEMONT,370134.0125,4462,Edgemont
EKOTA,292284.4936,6200,Ekota
ELLERSLIE,282873.6982,6211,Ellerslie
ELMWOOD,315722.4186,4140,Elmwood
ELMWOOD PARK,241443.9298,1130,Elmwood Park
ELSINORE,398083.215,3190,Elsinore
EMPIRE PARK,160450.5726,5170,Empire Park
ERMINESKIN,154432.2437,5180,Ermineskin
EVANSDALE,265403.3801,2260,Evansdale
EVERGREEN,54578.50399,2270,Evergreen
FALCONER HEIGHTS,442807.8839,5190,Falconer Heights
FOREST HEIGHTS,397229.0427,6230,Forest Heights
FRASER,300459.5963,2280,Fraser
FULTON PLACE,352627.4551,6240,Fulton Place
GARIEPY,432887.724,4160,Gariepy
GARNEAU,256095.446,5200,Garneau
GLASTONBURY,304277.3546,4720,Glastonbury
GLENGARRY,248125.5269,2290,Glengarry
GLENORA,625726.6892,3200,Glenora
GLENRIDDING HEIGHTS,410244.9817,5578,Glenridding Heights
GLENWOOD,206832.5734,4180,Glenwood
GOLD BAR,350262.1562,6270,Gold Bar
GOODRIDGE CORNERS,2329815.789,3490,Goodridge Corners
GRANDVIEW HEIGHTS,729558.4296,5210,Grandview Heights
GRANVILLE,385493.8279,4551,Granville
GRAYDON HILL,352713.7135,5468,Graydon Hill
GREENFIELD,387660.5463,5220,Greenfield
GREENVIEW,337722.1617,6280,Greenview
GRIESBACH,387970.6227,3111,Griesbach
GROVENOR,388349.9228,3210,Grovenor
HADDOW,428354.5254,5610,Haddow
HAIRSINE,219498.9146,2320,Hairsine
HAWKS RIDGE,415517.2534,4473,Hawks Ridge
HAYS RIDGE AREA,762808.5622,5465,Hays Ridge Area
HAZELDEAN,375958.0476,6290,Hazeldean
HENDERSON ESTATES,688743.676,5230,Henderson Estates
HERITAGE VALLEY TOWN CENTRE AREA,106659.2317,5464,Heritage Valley Town Centre Area
HIGH PARK,307302.2436,4200,High Park
HIGHLANDS,401595.5755,2330,Highlands
HILLVIEW,309054.2223,6300,Hillview
HODGSON,355207.1848,5620,Hodgson
HOLLICK-KENYON,349089.2079,2340,Hollick-Kenyon
HOLYROOD,401369.2,6310,Holyrood
HOMESTEADER,255153.1147,2350,Homesteader
HUDSON,369550.728,3480,Hudson
IDYLWYLDE,282418.9155,6320,Idylwylde
INGLEWOOD,259300.5751,3240,Inglewood
